lang	byte_coef_nllb	char_coef_nllb	bytes_per_char_nllb	char_entropy_nllb	char_entropy_flores_20lines	char_entropy_flores_200lines	char_entropy_flores_2000lines	char_coef_flores_20lines	byte_coef_flores_20lines	bytes_per_char_flores_20lines	char_coef_flores_200lines	byte_coef_flores_200lines	bytes_per_char_flores_200lines	char_coef_flores_2000lines	byte_coef_flores_2000lines	bytes_per_char_flores_2000lines	iso	script_name	bytes_per_char_bible_whole	char_entropy_bible_whole	char_coef_bible_whole	byte_coef_bible_whole	bytes_per_char_bible_one	char_entropy_bible_one	char_coef_bible_one	byte_coef_bible_one	writing_type	bytes_per_char_udhr	char_entropy_udhr	family	n_phonemes	char_coef_udhr	byte_coef_udhr	char_entropy	bytes_per_char	char_coef	byte_coef	source
aai_latn																	aai	latn	1.0472524966195853	4.176737104706648	1.12382683	1.175442847	1.0472452143243167	4.174700015090697	1.13070466	1.182689142	alphabet							4.176737104706648	1.0472524966195853	1.12382683	1.175442847	bible
aak_latn																	aak	latn	1.3702330916412688	4.289699086642637	1.663998975	2.277184521	1.371485117382398	4.293833058542536	1.73880777	2.381857167	alphabet							4.289699086642637	1.3702330916412688	1.663998975	2.277184521	bible
aau_latn																	aau	latn	1.010823371690314	4.182070499957663	1.53636399	1.551029691	1.0097093892573707	4.172917445504627	1.677740971	1.691976583	alphabet			Sepik	14.0			4.182070499957663	1.010823371690314	1.53636399	1.551029691	bible
aaz_latn																	aaz	latn	1.0832210019225246	4.106960518083343	1.553459494	1.680613015	1.0813297350343474	4.096473893023176	1.57308719	1.698963244	alphabet							4.106960518083343	1.0832210019225246	1.553459494	1.680613015	bible
abk_cyrl																	abk	cyrl									alphabet	1.7974838371483488	3.106543850625682	Northwest Caucasian	132.0	1.065140517	1.914572864					
abp_latn																	abp	latn	1.0159503874238538	4.147053056472385	1.312264136	1.331510137	1.0165684875538157	4.144474302717888	1.318512205	1.338732604	alphabet							4.147053056472385	1.0159503874238538	1.312264136	1.331510137	bible
abt_latn																	abt	latn	1.0926422832907845	4.156764740086955	1.720276824	1.877271377	1.0909431411633523	4.149569724531023	1.867598816	2.034973459	alphabet			Sepik	24.0			4.156764740086955	1.0926422832907845	1.720276824	1.877271377	bible
abx_latn																	abx	latn	1.0121749752876583	4.183087161124595	1.345127781	1.359783776	1.011658748097237	4.167044965	1.394461776	1.409008777	alphabet							4.183087161124595	1.0121749752876583	1.345127781	1.359783776	bible
aby_latn																	aby	latn	1.000321070051337	3.9278511962512015	1.340044901	1.338780828	1.0003360662861778	3.925245109161098	1.387651561	1.386434635	alphabet							3.9278511962512015	1.000321070051337	1.340044901	1.338780828	bible
acd_latn																	acd	latn	1.1649285396308529	4.374602405	1.470291127	1.710619186	1.1660578875455223	4.375117467191818	1.477028592	1.72021233	alphabet				51.0			4.374602405	1.1649285396308529	1.470291127	1.710619186	bible
ace_arab					4.409666251317187	4.422632417787723	4.387187400793808	0.8411294335872395	1.505402343801714	1.791302862261459	0.8411294335872395	1.505402343801714	1.791302862261459	0.8411294335872395	1.505402343801714	1.791302862261459	ace	arab									abjad			Austronesian	55.0			4.387187400793808	1.791302862261459	0.8411294335872395	1.505402343801714	flores
ace_latn	1.2419568876773823	1.2294937909158192	1.0173756256258129	4.541227899561515	4.605976764235077	4.595795563746557	4.462147333055235	1.0692086254267017	1.0867773613436145	1.017431978965412	1.0692086254267017	1.0867773613436145	1.017431978965412	1.0692086254267017	1.0867773613436145	1.017431978965412	ace	latn									alphabet			Austronesian	55.0			4.541227899561515	1.0173756256258129	1.2294937909158192	1.2419568876773823	nllb
acf_latn																	acf	latn	1.113280365220489	4.5264179400270805	1.04069508	1.15712098	1.1127596209030697	4.528160993042695	1.036712443	1.152212844	alphabet							4.5264179400270805	1.113280365220489	1.04069508	1.15712098	bible
acm_arab					4.619751851824133	4.615209247611764	4.571547968170164	0.8546028450064732	1.550152569	1.816149040202825	0.8546028450064732	1.550152569	1.816149040202825	0.8546028450064732	1.550152569	1.816149040202825	acm	arab									abjad			Afro-Asiatic				4.571547968170164	1.816149040202825	0.8546028450064732	1.550152569	flores
acq_arab					4.599424445325111	4.631968294	4.593580423069245	0.8650441801329481	1.569394862003875	1.8165816098128749	0.8650441801329481	1.569394862003875	1.8165816098128749	0.8650441801329481	1.569394862003875	1.8165816098128749	acq	arab									abjad			Afro-Asiatic				4.593580423069245	1.8165816098128749	0.8650441801329481	1.569394862003875	flores
acr_latn																	acr	latn	1.162881741951068	4.499816849995523	1.326400538	1.54049736	1.1647493642003186	4.489977693471569	1.353134146	1.57415096	alphabet			Mayan				4.499816849995523	1.162881741951068	1.326400538	1.54049736	bible
acu_latn																	acu	latn	1.021697625328099	4.162696719211806	1.407246022	1.435962607	1.0208054704689589	4.152684664659109	1.490946515	1.520120781	alphabet	1.0002060015106775	2.773917162428002	Jivaroan	27.0	1.355201936	1.355481109	4.162696719211806	1.021697625328099	1.407246022	1.435962607	bible
ada_latn																	ada	latn									alphabet	1.1250341498952736	2.8423097021757004		39.0	1.021868602	1.149637074					
adj_latn																	adj	latn	1.1725137584141672	4.566320516704766	1.0175761	1.191613906	1.172451046590142	4.570319423869427	1.012165118	1.185275009	alphabet			Niger-Congo	31.5			4.566320516704766	1.1725137584141672	1.0175761	1.191613906	bible
aeb_arab					4.542303678	4.600582460770333	4.550511931299579	0.8430202701399296	1.5277140901608963	1.8145616996293985	0.8430202701399296	1.5277140901608963	1.8145616996293985	0.8430202701399296	1.5277140901608963	1.8145616996293985	aeb	arab	1.8622371953782413	4.588183616817357	1.067189678	1.984848346	1.862882980975713	4.5923251707676656	1.063358312	1.978509994	abjad			Afro-Asiatic				4.550511931299579	1.8145616996293985	0.8430202701399296	1.5277140901608963	flores
